Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,731545,1668,0.002281,2.4589,1.2104,0.00679
Aleutians East,3337,2,0.000899,2.4589,1.0,0.002211
Aleutians West,5634,41,0.007455,2.4005,2.0,0.035791
Anchorage,288000,658,0.002288,2.4326,1.1345,0.006315
Bethel,18386,53,0.002937,2.2453,1.5588,0.01028
Bristol Bay,836,0,0.001196,2.4589,1.0,0.002941
Copper River,2699,35,0.013338,2.4589,2.0,0.065594
Chugach,6751,53,0.007999,2.4589,1.0,0.019668
Denali,2097,2,0.001431,2.2585,2.0,0.006462
Dillingham,4916,2,0.00061,2.4589,1.0,0.001501
Fairbanks North Star,96849,99,0.001033,2.3166,1.8333,0.004385
Haines,2530,0,0.000395,2.4589,1.0,0.000972
Juneau,31974,93,0.00294,2.3921,1.2237,0.008606
Kenai Peninsula,58708,209,0.003577,2.5454,1.2515,0.011395
Ketchikan Gateway,13901,28,0.002086,2.4589,2.0,0.010259
Kodiak Island,12998,42,0.003308,2.5545,1.4483,0.012239
Kusilvak,8314,21,0.002646,2.4326,1.6154,0.010398
Bristol Bay plus Lake and Peninsula,2428,3,0.001647,2.4589,2.0,0.008102
Matanuska-Susitna,108317,136,0.001265,2.4871,1.2952,0.004074
Nome,10004,9,0.001,2.4589,1.0,0.002458
North Slope,9832,11,0.001221,2.3921,2.0,0.005839
Northwest Arctic,7621,3,0.000525,2.4589,1.0,0.001291
Petersburg,3266,0,0.000306,2.4589,1.0,0.000753
Prince of Wales-Hyder,6203,22,0.003708,2.9141,2.0,0.02161
Sitka,8493,111,0.013187,2.6063,1.0,0.034371
Skagway,1183,2,0.002536,2.4589,2.0,0.012471
Southeast Fairbanks,6893,15,0.002321,2.4871,1.6667,0.009622
Valdez-Cordova,9202,0,0.000109,2.4589,1.0,0.000267
Wrangell,2502,3,0.001599,2.3321,1.5,0.005593
Yakutat,604,4,0.008278,2.4589,1.0,0.020355
Yukon-Koyukuk,5230,5,0.001147,2.3747,2.0,0.005449
